LATC,LONC,SCC,ANNCO,ANNNOX,ANNPM10,ANNPM25,ANNSO2,ANNVOC,Capa,STKHGT,STKDIAM,STKTEMP,STKFLOW,STKVEL,F,H efectiva
26.985833,-102.0666,30504001,9.24,,218.36,122.83,104.8,,3,33.9,3.7073,143,439.51,40.7,19.7,231.5
25.775,-103.273,10100601,10.84,42.93,0.85,0.84,0.15,0.28,3,49.2,10.301,267,2051,24.6,14.4,214.2
26.926388,-101.4491,31499999,19.34,23.03,16.8,15.06,0.14,2,4,29.8,1.8044,141,37.08,14.5,1.7,106.5
26.900833,-101.418,30504001,226.11,376.85,20.46,,0.48,23.42,3,33.9,3.7073,143,439.51,40.7,19.7,231.5
26.900833,-101.418,10100601,13.58,53.74,1.06,1.05,0.16,0.35,3,49.2,10.301,267,2051,24.6,14.4,214.2
26.900833,-101.418,30103301,0.18,1038,9.51,9.41,,,4,59.7,2.3293,333,131.29,30.8,1.7,116.3
26.900833,-101.418,30300933,,,9369,9181.62,,,1,91.8,19.685,209,26759.74,87.9,660.9,741.4
26.900833,-101.418,30300913,,,11.5,11.27,,75,2,164,3.937,130,547.18,44.9,26.7,294.7
26.900833,-101.418,30300931,12,1386,89.5,87.71,,24,1,131,13.123,843,6301.63,46.6,1062.5,875.6
26.900833,-101.418,30300931,13,1386,89.5,87.71,,26,1,131,13.123,818,6301.63,46.6,1014.4,862.8
26.900833,-101.418,30300931,33,1386,346,339.08,,66,1,104,11.811,911,4313.51,39.4,816.7,797.2
26.900833,-101.418,30300931,33,1386,346,339.08,,66,1,104,11.811,911,4313.51,39.4,816.7,797.2
26.900833,-101.418,30300933,575,,36,35.28,,1150,2,209,4.8228,1703,899.02,49.2,387.3,660.7
26.900833,-101.418,10200402,145,604,58.5,57.33,318.75,290,2,124,5.9055,751,1617.57,59.1,227.4,537.7
26.900833,-101.418,10200704,145,1753,58.5,57.33,318.75,290,2,98.4,7.4803,751,2595.3,59.1,364.8,615.2
26.900833,-101.418,10200704,16,4682,,,,32,2,98.4,7.4803,721,1874.38,42.7,246.3,543.4
26.900833,-101.418,10200402,41,1283,,,,82,2,99,11.417,638,1679.47,16.4,178.2,491
26.900833,-101.418,30300317,140,1036,,,,280,2,328,13.451,400,1958.22,13.8,65.7,430.4
26.900833,-101.418,10200402,41,1283,,,,82,2,99,11.417,638,1679.47,16.4,178.2,491
26.900833,-101.418,10200402,48,1082,,,5368,96,2,131,11.056,319,5291.92,55.1,46.8,335
26.900833,-101.418,10200704,48,1082,,,5368,96,2,131,11.056,319,5291.92,55.1,46.8,335
26.900833,-101.418,30300814,,,369.5,362.11,30,,1,131,14.435,460,10041.34,61.4,520.4,698.7
26.900833,-101.418,30300815,,,4647,4554.06,,,2,82,4.9212,422,1460.3,76.8,58.8,343.4
26.900833,-101.418,30300317,140,1036,,,,280,2,328,13.451,400,1958.22,13.8,65.7,430.4
26.900833,-101.418,30300317,158,3009,,,,316,2,377,13.779,433,2299.54,15.4,100.3,495.4
26.900833,-101.418,30300317,639,1303,112,109.76,,1278,2,157,12.467,481,4726,38.7,275.2,580.6
26.900833,-101.418,30300828,,,36.5,35.77,,,2,164,4.5931,139,1141.62,68.9,52.6,356.8
26.900833,-101.418,30300828,,,26.5,25.97,,,2,164,4.5931,148,1359.07,82,58.8,368.5
26.900833,-101.418,30300913,,,11.5,11.27,,75,2,164,3.937,130,547.18,44.9,26.7,294.7
26.900833,-101.418,30300913,,,11.5,11.27,,75,2,164,3.937,130,547.18,44.9,26.7,294.7
26.8885,-101.1995,40400101,0.02,0.08,0.01,0.01,0.01,154.29,7,10.4,0.5249,67.7,0.59,2.7,0,31.2
27.878611,-101.5172,30504001,,15.98,21.02,6.14,206.47,,3,33.9,3.7073,143,439.51,40.7,19.7,231.5
28.241111,-101.5902,10102101,0.05,13.5,0.18,0.18,7.74,0.01,2,287,12.04,311,5999.6,52.7,38.4,363.8
28.420833,-100.7683,30501005,2.59,12.42,,,36.75,,3,72,3.9698,118,510.45,41.2,26.8,266.9
28.420833,-100.7683,30501005,6.48,31.11,,,92.04,,3,72,3.9698,118,510.45,41.2,26.8,266.9
28.420833,-100.7683,30501005,19.57,93.94,,,277.92,,3,72,3.9698,118,510.45,41.2,26.8,266.9
28.420833,-100.7683,10100202,320.15,15343.5,1208.03,1186.85,22319.75,25.65,2,393,17.552,258,19053,78.7,185.9,587.2
28.420833,-100.7683,10100202,320.15,15343.5,1208.03,1186.85,22319.75,25.65,2,393,17.552,254,19449.94,80.4,213.5,609.3
28.420833,-100.7683,10100202,320.15,15343.5,1208.03,1186.85,22319.75,25.65,2,393,17.552,280,19211.78,79.4,58.6,437.8
28.420833,-100.7683,10100202,320.15,15343.5,1208.03,1186.85,22319.75,25.65,2,393,17.552,272,20402.59,84.3,112,514.5
28.420833,-100.7683,10100212,276.45,10554.6,1037.88,1019.68,19196.5,22.25,2,393,18.044,247,17619.32,68.9,231,622.3
28.420833,-100.7683,10100212,276.45,10554.6,1037.88,1019.68,19196.5,22.25,2,393,18.044,247,17619.32,68.9,231,622.3
28.420833,-100.7683,10100202,276.45,15831.9,1037.88,1019.68,19196.5,22.25,2,393,18.044,247,17619.32,68.9,231,622.3
28.420833,-100.7683,10100202,276.45,15831.9,1037.88,1019.68,19196.5,22.25,2,393,18.044,247,17619.32,68.9,231,622.3
27.030555,-103.3666,30107001,462.23,509.87,132.31,51.6,61.6,,4,43.2,1.6404,157,34.18,16.2,1.4,104.5
27.313888,-102.3972,30399999,59.77,61.62,17.3,17.3,70.49,,3,56.2,2.6902,191,149.57,26.3,4.5,152.5
28.7,-100.523,50490004,,9.88,3.87,3.87,,3.43,3,42.2,3.5104,98.5,89.87,9.3,5.2,155.2
28.689444,-100.5227,31499999,24.15,28.74,5.32,5.13,0.17,17.57,4,29.8,1.8044,141,37.08,14.5,1.7,106.5
28.7,-100.523,30500301,10.04,11.95,12.66,11.59,0.07,1.04,3,35.3,2.6574,230,235.48,42.5,4.3,144
25.583333,-100.8833,30701201,44.35,52.8,51.52,39.16,0.32,4.59,3,108,4.9212,314,540.44,28.4,4,162.4
25.53944,-100.9475,30103301,124.73,735.02,22.27,,0.03,12.62,4,59.7,2.3293,333,131.29,30.8,1.7,116.3
25.54,-100.9388,30199999,,82.25,,,5.75,4.08,4,46.2,2.0997,202,85.55,24.7,2.3,122.1
25.526666,-100.9466,30199999,2.04,22.4,12.86,8.37,230.2,0.41,4,46.2,2.0997,202,85.55,24.7,2.3,122.1
25.53944,-100.9475,30400701,7.32,0.12,122.16,119.66,0.06,,3,39.4,2.6902,157,190.97,33.6,7.7,174
25.53944,-100.9475,31400901,10.29,,35.63,34.33,,381.91,7,20.9,1.706,291,37.72,16.5,0,24.9
